2026-05-03T00:36:39.729Z JOY-0153-A2 item.created "Per-zone encryption mode and WebUI as review surface" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:23:19.146Z JOY-0141-DE item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:26:16.587Z JOY-0141-DE comment.added "Polish: column gap after the ID column is now 2 spaces (1 space between the other columns), in both joy ls and joy ls --tree. Header, rows and separator widths updated accordingly. Tests still green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:37:26.260Z JOY-0141-DE comment.added "Polish round 2: 2 spaces between every column (not just after ID). Headers adapt to is_short(): short on -> TYP / STA / PRI / EFF, short off -> TYPE / STATUS / PRIO / EFFORT. With emoji on and short off, the EFFORT cell shows the colored block character followed by the t-shirt size (e.g. '▇ xxl'); with emoji on and short on it stays at the block character only; with emoji off it stays at the t-shirt size only. Both joy ls and joy ls --tree updated. Tests green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:40:11.351Z JOY-0141-DE comment.added "Polish round 3: column alignment for VS-16 emoji glyphs (♻️ rework, ▶️ in-progress, ⏸️ deferred). The unicode_width crate counts the base character but ignores the U+FE0F variation selector, so terminals that render base+VS-16 as a 2-cell emoji ended up with one extra padding space. display_width now adds one cell per VS-16 occurrence." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:51:45.416Z JOY-0141-DE comment.added "Polish round 4: replaced VS-16 emoji glyphs (♻️, ▶️, ⏸️) with single-codepoint emojis to match the rest of the icon set and avoid alignment quirks across terminals: rework now 🔄, in-progress now 🏃, deferred now 💤. Also reverted the display_width VS-16 compensation: unicode-width 0.2 already counts these correctly, so the manual adjustment was double-counting. Tests green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T01:58:24.041Z JOY-0142-62 item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-05-03T01:58:30.354Z JOY-0141-DE item.status_changed "review -> closed" [horst.schwarz@joydev.com]
2026-05-03T09:55:08.792Z JOY-0154-3C guard.denied "horst.schwarz@joydev.com must authenticate to perform this action. Run `joy auth`." [horst.schwarz@joydev.com]
2026-05-03T10:01:47.451Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:03:03.634Z JOY-0154-3C item.created "joy-crypt as leaf crate, no joy-core dependency" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:04:19.850Z JOY-0155-D0 item.created "Initialize joy-crypt crate skeleton in joyint/crypt" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:17:39.558Z JOY-0154-3C comment.added "Decision recorded in ADR-039 §"Crate boundary and dependency direction". Auth.md updated ("Where auth lives" section, Open Question #5 removed) to reflect the split: joy-crypt owns the cryptographic primitives, joy-core/auth keeps the identity application layer and depends on joy-crypt. No reverse dependency." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:17:42.955Z JOY-0154-3C item.status_changed "new -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:33:05.424Z JOY-0155-D0 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:33:05.465Z JOY-0155-D0 comment.added "Plan: (1) crypt/Cargo.toml as workspace with member crates/joy-crypt; (2) crypt/crates/joy-crypt/Cargo.toml with RustCrypto deps; (3) lib.rs declaring pub mod aead, identity, kdf, session_wrap, wrap, zone; (4) six empty stub module files with doc comment only; (5) joy/Cargo.toml workspace.dependencies adds joy-crypt as path dep on ../crypt/crates/joy-crypt; (6) cargo check in both workspaces. Three commits across crypt, joy, umbrella." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:41:38.238Z JOY-0155-D0 comment.added "Done: [x] crypt/Cargo.toml workspace with shared RustCrypto deps. [x] joy-crypt package at crypt/crates/joy-crypt with argon2, ed25519-dalek, aes-gcm, zeroize, secrecy, rand_core, thiserror. [x] lib.rs declares modules aead, identity, kdf, session_wrap, wrap, zone with #![forbid(unsafe_code)]. [x] Six stub module files with doc comments. [x] joy/Cargo.toml workspace.dependencies adds joy-crypt = { path = "../crypt/crates/joy-crypt" }. [x] cargo check passes in crypt and joy. No business logic yet; ready for primitive implementations in subsequent items." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:41:38.288Z JOY-0155-D0 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T10:41:38.348Z JOY-0155-D0 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:11:40.251Z JOY-0156-02 item.created "Migrate Auth primitives to joy-crypt and add AES-GCM helpers" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:11:44.960Z JOY-0147-85 dep.added "JOY-0156-02" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:11:45.036Z JOY-014C-29 dep.added "JOY-0147-85" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:14:09.854Z JOY-0156-02 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:14:09.898Z JOY-0156-02 comment.added "Plan: (1) Survey use sites of auth::derive::{Salt,DerivedKey,...} and auth::sign::{IdentityKeypair,PublicKey,...} in joy-core. (2) Implement joy-crypt modules: kdf (Salt, DerivedKey, generate_salt, derive_argon2id, derive_hkdf_sha256), identity (Keypair, PublicKey), aead (seal/open AES-256-GCM), wrap (wrap/unwrap with random-nonce prefix), plus error type. Move tests along. (3) Delete joy-core/auth/derive.rs and sign.rs entirely; all consumers import from joy_crypt directly. Joy-specific helpers (validate_passphrase, derive_delegation_seed, from_token_seed) move to fitting auth modules. (4) cargo test passes in crypt and joy. (5) Three commits per submodule (CRYPT new item, JOY-0156-02, umbrella bump)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:33:43.031Z JOY-0156-02 comment.added "Done: joy-core depends on joy-crypt = workspace path. Removed direct deps hkdf, ed25519-dalek, zeroize. auth/derive.rs and auth/sign.rs deleted; primitives consumed via joy-crypt. Joy-domain helpers moved: validate_passphrase to auth/mod.rs, derive_delegation_seed to auth/delegation.rs (with all 5 original tests). auth/mod.rs re-exports joy-crypt names: IdentityKeypair (alias for Keypair), PublicKey, Salt, DerivedKey, generate_salt, derive_key. JoyError gains From<joy_crypt::Error>. fast-kdf feature now propagates via joy-crypt/fast-kdf. All 287 (now 292) joy-core tests pass single-threaded; existing flakiness under parallel execution is pre-existing (XDG_STATE_HOME mutex)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:33:43.075Z JOY-0156-02 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:33:43.127Z JOY-0156-02 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:48:55.167Z JOY-0147-85 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T15:48:55.222Z JOY-014C-29 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:30:59.524Z JOY-0147-85 comment.added "Done: schema gains seed_wrap_passphrase, seed_wrap_recovery on Member. joy auth init generates random seed and recovery key, wraps seed under passphrase KEK and recovery KEK, displays recovery key once. joy auth (passphrase path) prefers wrapped path; legacy entries trigger lazy migration to wrapped-seed (preserves keypair: legacy derived_key becomes the seed). joy auth recover --recovery-key restores passphrase access via recovery key. joy auth recover --regenerate-key rotates recovery wrap. joy auth passphrase preserves keypair across rotation (only seed_wrap_passphrase changes). joy auth --otp also onboards via wrapped seed. ai_init/project_member/token_add/token_rm/ai_rotate use the new joy_core::auth::unlock_identity helper that handles both wrapped and legacy states. derive_delegation_seed signature updated to take seed bytes per ADR-039. 8 new joy-core unit tests + 4 new bats integration tests; existing 285 bats tests still green. Test for legacy-state lazy migration deferred to Rust unit tests (constructing a real legacy state from bats requires reproducing Argon2id parameters)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:30:59.568Z JOY-0147-85 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:30:59.622Z JOY-0147-85 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:30:59.679Z JOY-014C-29 comment.added "Done as part of JOY-0147-85: lazy migration runs on the first joy auth after upgrade for any member entry without seed_wrap_*. Detects legacy state, takes the legacy derived_key as the seed (so the existing keypair stays valid), generates a fresh recovery key, wraps the seed under both KEKs, persists, displays the recovery key once. Identity keypair preserved; existing Crypt wraps unaffected. Same migration path is reused by joy auth passphrase when called on a legacy entry." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:30:59.723Z JOY-014C-29 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:30:59.778Z JOY-014C-29 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:32:48.400Z JOY-0148-84 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:32:48.444Z JOY-0148-84 comment.added "Plan: (1) Schema: top-level crypt: { zones: { default: { ... } } } block in project.yaml. Member gains crypt_wraps: BTreeMap<zone_name, wrap_hex>. Item gains crypt_zone: Option<String>. (2) Zone-key handling in joy-crypt: zone keys are random 32-byte AES-GCM keys; per-member wrap = wrap(member_kek, zone_key) where member_kek derives from member's seed via HKDF (joy-crypt::kdf::derive_hkdf_sha256 with info='crypt-member-kek'). (3) joy-cli/commands/crypt.rs with subcommands add, rm, grant, revoke, list, status. add <ID> sets item.crypt_zone, auto-creates zone (default) on first call. add <PATH> appends to zone.paths. grant unwraps the actor's zone_key and re-wraps for the target member. (4) Tests: bats coverage for grant/revoke roundtrip, list output shape, status on empty/non-empty zone." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:43:36.032Z JOY-0157-86 item.created "Pairwise wrap (X25519) for joy crypt grant" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:51:15.592Z JOY-0148-84 comment.added "Done: schema gains top-level crypt: { zones: { name: { paths: [...] } } }, Member.crypt_wraps (zone -> hex wrap), Item.crypt_zone. joy-core/crypt module manages zone keys (random AES-256-GCM, member KEK = HKDF(seed, zone_name, 'crypt-member-kek'), wrap/unwrap_for_member roundtrip). joy crypt CLI: add (item or path; auto-creates default zone on first use), rm, list, status, revoke. The grant subcommand requires the X25519-based pairwise wrap primitive, deferred to JOY-0157-86 (split out so this default-zone work can ship); a clear bail message points there. 4 joy-core unit tests + 5 bats integration tests cover add/list/status/revoke and the grant deferral. 304 + 88 + 293 tests green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:51:15.635Z JOY-0148-84 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:51:15.687Z JOY-0148-84 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:55:35.643Z JOY-0149-8D item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T16:55:35.713Z JOY-014A-F9 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:00:02.857Z JOY-0149-8D comment.added "Done: --zone <name> already worked through the global flag from JOY-0148-84; this story adds joy crypt zone list and joy crypt zone rm. zone list prints a one-line-per-zone table with PATHS/ITEMS/MEMBERS counts. zone rm refuses to drop non-empty zones (items still tagged or members still granted). HKDF salts zone keys with the zone name so different zones derive distinct member KEKs from the same seed; no cross-zone key reuse. 2 new bats tests cover the new subcommands; existing 295 still green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:00:02.913Z JOY-0149-8D item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:00:02.968Z JOY-0149-8D item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:00:03.022Z JOY-014A-F9 comment.added "Done: joy crypt add --all tags every existing item with the addressed zone; joy crypt rm --all clears the tag from every item in the zone. add --all auto-creates the default zone if needed; rm --all leaves the zone registered (zone list / zone rm handle removal). The 'auto-encrypt new items' project default per ADR-038 is noted in the success message but deferred (still requires the --crypt flag on add/edit, tracked separately). 2 new bats tests cover the bulk add and bulk rm flows." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:00:03.063Z JOY-014A-F9 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:00:03.117Z JOY-014A-F9 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:02:10.639Z JOY-0157-86 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:02:10.682Z JOY-0157-86 comment.added "Plan: (1) joy-crypt: add x25519-dalek + curve25519-dalek deps; identity::Keypair gains to_x25519_secret() and PublicKey gains to_x25519_public() via Ed25519->Montgomery conversion. New pairwise module with pairwise_kek(my_x25519_secret, peer_x25519_public, info) -> [u8; 32] doing ECDH + HKDF. (2) joy-core/crypt: change wrap format to include granter's verify_key as a prefix; wrap_for_member uses pairwise_kek with the granter's secret + recipient's public; unwrap_for_member reads the granter prefix, looks up their public key, derives the symmetric pairwise KEK with own secret + granter's public, decrypts. Self-wrap (auto-create) is the special case granter==recipient. (3) joy-cli/commands/crypt: implement run_grant using the new primitive. (4) Tests: pairwise self/cross roundtrip, recipient cannot decrypt without granter pubkey, third party cannot decrypt." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:16:10.882Z JOY-0157-86 comment.added "Done: joy-crypt gains x25519-dalek + curve25519-dalek deps; identity::Keypair::to_x25519_secret_bytes (SHA-512 + bit-clamping) and PublicKey::to_x25519_public_bytes (Ed25519->Montgomery) round out the conversion. New pairwise module exposes pairwise_kek(my_x25519_secret, peer_x25519_public, info) doing X25519 ECDH + HKDF-SHA256 with 'crypt-pairwise-v1' prefix. joy-core/crypt now wraps zone keys with the granter's verify_key prepended; unwrap reads the prefix, locates the granter's X25519 public, and reproduces the same KEK on the recipient side. Self-wrap is the special case granter==recipient. joy crypt grant <member> uses the new primitive end-to-end. 35 joy-crypt unit tests (5 new for pairwise), 6 joy-core crypt tests (rewritten for the wrapped format), 1 new bats integration test exercising founder->member grant. All green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:16:11.091Z JOY-0157-86 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:16:11.402Z JOY-0157-86 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:23:20.460Z JOY-014B-09 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:23:20.508Z JOY-014B-09 comment.added "Plan: (1) SessionToken gains zone_keys cache populated on joy auth. (2) New joy crypt-filter clean/smudge/textconv subcommand. (3) Magic-header blob format JOYCRYPT||v1||zone||nonce||AES-256-GCM ct+tag. (4) joy crypt add <id> auto-writes .gitattributes rules; joy crypt setup writes git filter config to .git/config. (5) Bats tests covering filter roundtrip and gitattributes wiring. Path-based filter (zone.paths globs) deferred to follow-up." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:40:37.084Z JOY-014B-09 comment.added "Done: joy-core/auth/session adds zone-keys sidecar (save/load/remove). joy-core/crypt encrypt_blob/decrypt_blob produce/parse JOYCRYPT||v1||zone-len||zone||nonce||AES-GCM-ct+tag (zone in AAD). joy auth populates the sidecar after passphrase verification using the just-recovered seed. joy-cli/commands/crypt_filter implements the Git filter binary with clean/smudge/textconv subcommands; smudge reads crypt_zone from inbound YAML, clean/textconv read the magic header. joy crypt add auto-runs git config filter.joy-crypt.{clean,smudge,required} + diff.joy-crypt.{textconv,cachetextconv} on first call per clone, and writes a .gitattributes entry per item. joy crypt setup makes the same setup explicit. joy crypt add also refreshes the sidecar so the filter has the new zone key without re-running joy auth. 5 new joy-core unit tests for blob roundtrip + tamper / wrong-key / wrong-zone / magic-detect cases; 3 new bats tests for .gitattributes/git config wiring, clean/smudge roundtrip, and the plaintext-passthrough fallback. 310 + 91 + 300 tests green. Path-based filter (zone.paths globs) lands in a follow-up; only item-file YAML is auto-encrypted in this release." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:40:37.127Z JOY-014B-09 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:40:37.179Z JOY-014B-09 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.622Z JOY-014D-83 comment.added "Done: docs/user/Tutorial.md - Authentication section now reflects ADR-039 wrapped-seed model with recovery-key one-time display, joy auth recover --recovery-key passphrase reset, joy auth recover --regenerate-key rotation, and the keypair-stable-across-passphrase-change semantics. New Mission 10 (Sealing the Vault) covers joy crypt add (item / path / --all), zone management, named zones (--zone), grant via X25519 ECDH, revoke, and the no-separate-Crypt-recovery story. Threat model note about plaintext Git history is included so users do not over-trust." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.665Z JOY-014D-83 item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.719Z JOY-014D-83 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.777Z JOY-014E-8B comment.added "Done: website joy/features page (content/joy/docs/en/features.mdx) - Authentication section rewritten for the wrapped-seed model and recovery flows; new Selective Encryption section introduces joy crypt add/--zone/--all/grant. Website submodule keeps [no-item] commits because its own .joy backlog still uses legacy auth fields; canonical narrative lives in BusinessModel.md per the item brief." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.820Z JOY-014E-8B item.status_changed "new -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.874Z JOY-014E-8B item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T17:57:01.912Z JOY-0145-51 item.status_changed "new -> closed (all children closed)" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T18:10:40.160Z JOY-0158-56 item.created "Path-glob smudge: encrypt files matched by crypt.zones[].paths" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T18:10:40.191Z JOY-0159-E2 item.created "Auto-encrypt new items in marked zones (--crypt flag on joy add, project default)" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T18:11:57.692Z JOY-014B-09 item.status_changed "closed -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T18:11:57.734Z JOY-014B-09 item.status_changed "in-progress -> open" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T18:11:57.777Z JOY-014B-09 comment.added "Adding e2e bats coverage that the file ladder (joy crypt add → git add → git commit → rm + git checkout) actually round-trips through the real Git filter invocation, not just the filter binary in isolation." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T18:12:03.093Z JOY-014B-09 item.status_changed "open -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T19:00:58.508Z JOY-014B-09 comment.added "Fix-up: removed the unilaterally added joy crypt-filter top-level (hyphen-form, broke the all-spaces convention) and joy crypt setup (broke the init-only convention). FilterArgs now lives as a hidden Filter subcommand under joy crypt, so git config calls 'joy crypt filter clean -- %f' etc. The previous git_filter_configured check in run_add is gone; setup_git_filter is now called unconditionally whenever joy crypt add writes to .gitattributes - 'git config' is idempotent at the Git level, so we don't add a Joy-side check on top. New e2e bats test (Crypt e2e: git add + commit + checkout drives the filter) confirms the full Git filter pipeline through real git invocations. 301 bats tests green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T19:00:58.557Z JOY-014B-09 item.status_changed "in-progress -> review" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T19:00:58.613Z JOY-014B-09 item.status_changed "review -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T20:07:20.289Z JOY-015A-FD item.created "Repair Crypt: encrypt-on-disk, file workflows, transparent item decrypt" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T20:07:30.533Z JOY-0145-51 item.status_changed "closed -> open" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T20:07:30.592Z JOY-015A-FD item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-05-03T20:21:26.298Z JOY-015A-FD comment.added "Spec refinements after discussion:\n\n(a) joy crypt list -> joy crypt ls (and zone list -> zone ls). Joy uses 'ls' everywhere; the original Crypt.md spec used 'list', that was inconsistent.\n\n(b) Free-file verbs split into a safe default and an explicit fallback:\n  - Default (plaintext never on FS): joy crypt read (decrypt to stdout, pipe-friendly), joy crypt write (encrypt stdin), joy crypt edit ($EDITOR on temp, re-encrypt + delete temp on save).\n  - Fallback (plaintext on FS until lock): joy crypt unlock <file>, joy crypt lock <file>. Documented as the larger AI-readable window, opt-in for tools that need a real path (PPT, PDF, images, video).\n\n(c) Session storage consolidates into one file. No separate zone-keys sidecar, no separate unlocked-files sidecar. The session JSON gets two new top-level fields:\n  - zone_keys: { zone -> hex } - decrypted at joy auth, lives only as long as the session.\n  - unlocked_files: [ { path, zone } ] - tracks files currently in plaintext on disk via joy crypt unlock.\nThe signature still covers only 'claims'; zone_keys and unlocked_files are local mutable state.\n\n(d) Session lifetime = zone-key lifetime. On joy auth: derive zone keys fresh, write to session. On joy deauth: re-encrypt any unlocked files first, then delete the session file. On expiry detection (next joy command after the 24h TTL): read old file's unlocked_files + zone_keys, prompt re-auth, re-encrypt unlocked files with old zone keys, write fresh session, delete old.\n\n(e) joy crypt unlock prints a one-shot reminder. joy crypt status shows count. joy crypt ls --unlocked lists them explicitly. No 'WARNING: N unlocked' on every command.\n\n(f) Permission errors at the read path produce 'no access to zone X' (joy_core::error::ZoneAccessDenied), not a YAML-parse error.\n\nThese refinements are part of Phase 1 (Crypt.md update) before any code lands." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
