2026-04-15T04:47:05.382Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:48:15.513Z JOY-00E7-B1 comment.added "Implementation plan (6 phases, hard cut, no backward compat reading per ADR-033):\n\nPhase 1 (small): Add ai_delegations: BTreeMap<String, AiDelegationEntry> field to Member alongside existing ai_tokens. New AiDelegationEntry { delegation_key, created, rotated }. New module joy_core::auth::delegation with local-state read/write for delegation private keys at ~/.local/state/joy/delegations/<project>/<ai-member>.key (0600). No behavior change yet, all existing tests pass.\n\nPhase 2: Rewrite run_token_add to use stable delegation key. If ai_delegations[ai_member] exists: read private from local state, sign binding with it. If absent: generate keypair, persist private locally, write public to project.yaml exactly once. Token format gains a token_id (UUID) field, included in claims and covered by both signatures. Validation in auth_with_token reads only ai_delegations (ai_tokens fully ignored). Old ai_tokens entries opportunistically removed on auth token add to keep project.yaml clean.\n\nPhase 3: New command joy ai migrate-delegations per ADR-033 migration section. Performs explicit one-shot migration; idempotent.\n\nPhase 4 (largest): Replace IdentityKeypair::from_token_seed (auth.rs:279) with ephemeral keypair generation for AI sessions only. Session file stores only the public key + claims + expiry. Encode private key into JOY_SESSION env var as joy_s_<base64>. Modify validate_session to additionally require a request signature signed with the ephemeral key. Add request-signing layer to every Joy write command path (one helper, called from each handler that calls guard::enforce). Human session path (TTY-bound) unchanged.\n\nPhase 5: Token TTL default 2h (currently None = never expires). Add consumed-tokens.json at ~/.local/state/joy/consumed-tokens.json. On successful redemption: append token_id, then GC entries older than 2h. On already-consumed: reject with the exact error from ADR-033 lifecycle section (CONSUMED). On expired: reject with EXPIRED message.\n\nPhase 6: Update joy ai update templates (CLAUDE.md, QWEN.md, AGENTS.md, ...) with the EXPIRED/CONSUMED error handling clause. Update Auth.md. Drop the ai_tokens field from Member (one release after Phase 2) and the dead AI-side TTY code. tty field stays for human sessions (still actively used in identity.rs:185-188).\n\nEach phase = one commit, review gate between phases." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:10:44.013Z JOY-00E8-3D comment.added "Phase 1 done (a833e55): added Member.ai_delegations schema, joy_core::auth::delegation module with save/load/remove for per-(project, AI) Ed25519 seeds at ~/.local/state/joy/delegations/<project>/<ai>.key (mode 0600), IdentityKeypair::to_seed_bytes for persistence. Pure additive, no behavior change. 12 new unit tests; full BATS suite green (159/159). Phase 2 (CLI switchover to ai_delegations) next." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:21:58.632Z JOY-00E8-3D comment.added "Phase 2 done: CLI switched from ai_tokens to ai_delegations. token::create_token now accepts the stable delegation keypair; run_token_add reuses existing delegation or generates once and persists privately to ~/.local/state; auth_with_token validates against the stable key; run_token_rm, ai reset, and project show all switched. Legacy ai_tokens entries dropped opportunistically on issuance/revocation. 159/159 BATS green, 227 unit tests green. Existing AI sessions invalidated as expected (Phase 3 migrate-delegations will handle pre-existing deployments)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:27:12.635Z JOY-00E7-B1 comment.added "Scope update: Phase 3 (joy ai migrate-delegations) removed from plan. Rationale: with the hard-cut architecture adopted for ADR-033 and the opportunistic legacy ai_tokens cleanup already implemented in Phase 2 (b 81e3035), a dedicated migration command would be a backward-compatibility shim contradicting the hard-cut design. Legacy entries in project.yaml are silently ignored at validation time and auto-cleaned on the next joy auth token add for the affected AI. Remaining phases: 4 (ephemeral session keypair), 5 (single-use tokens + 2h TTL), 6 (templates + cleanup)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:59:04.854Z JOY-00E9-C2 comment.added "Phase 4 done: AI sessions are bound to an ephemeral keypair whose private half lives only in JOY_SESSION. Sibling terminals that can read the session file but lack the env var cannot act as the AI - Constraint 2 now structurally enforced. joy auth --token persists the live env value into tool settings files so AI tools' fresh subshells pick it up. 230 unit tests green, 160/160 BATS green." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:34:46.105Z JOY-00EA-45 comment.added "Phase 5 done: tokens carry a UUID token_id covered by both signatures, default TTL is 2h, and joy auth --token rejects replay via ~/.local/state/joy/consumed-tokens.json (mode 0600) with lazy GC on expired entries. Error wording matches ADR-033 for both EXPIRED and CONSUMED. 235 unit tests green, 162/162 Joy BATS green (two new replay tests). The uuid crate was added to joy-core dependencies." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:48:57.282Z JOY-00E7-B1 comment.added "Phase 6 done: legacy ai_tokens path removed from the codebase, AI instruction template teaches EXPIRED/CONSUMED handling, Auth.md in JI reflects ADR-033. All six planned phases of this epic are complete (except the scrapped Phase 3, replaced by Phase-2 opportunistic cleanup). JOY-00E8-3D, JOY-00E9-C2, JOY-00EA-45 are all covered by the six commits in the main branch. JOY-00EB-6C (shell completion) remains open as independent work." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:52:17.123Z JOY-00E8-3D item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:52:17.144Z JOY-00E9-C2 item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:52:17.166Z JOY-00EA-45 item.status_changed "new -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:52:17.191Z JOY-00E7-B1 item.status_changed "new -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:52:26.817Z JOY-00EB-6C item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T07:57:49.946Z JOY-00EB-6C comment.added "Shell completion added: complete_ai_member in complete.rs reads project.yaml and emits AI member ids filtered by prefix. Wired into TokenAddArgs.member and TokenRmArgs.member via #[arg(add = ArgValueCompleter::new(...))]. 4 new unit tests on the pure filter helper (AI-prefix filtering, prefix matching, sorted output, empty no-match). Dynamic dispatch goes through the existing CompleteEnv in main.rs - no new setup required; users already following the completions docs get the new completer automatically." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
